,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,Salary,ConvertedSalary,CurrencySymbol,CommunicationTools,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,LnConvertedSalary
63889,90734,Yes,Yes,Sri Lanka,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer,9-11 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,3.0,7.0,6.0,8.0,10.0,11.0,4.0,2.0,9.0,5.0,1.0,65000,5064.0,LKR,Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;Because I find it enjoyable",4,1,4,Java;JavaScript;PHP;TypeScript;HTML;CSS,Go;JavaScript;Python;Rust;TypeScript;HTML;CSS,MongoDB;MySQL;SQLite,MongoDB;Redis;MySQL;PostgreSQL;Neo4j;Elasticsearch,Android;Heroku;Raspberry Pi;Serverless;WordPress,Android;Gaming console;Google Cloud Platform/App Engine;Heroku;iOS;Raspberry Pi;Serverless;WordPress;Firebase,Angular;Node.js,Angular;Node.js;React;TensorFlow;Torch/PyTorch,Atom;Sublime Text;Visual Studio Code,MacOS,1,Depends on what it is,Depends on what it is,The developer who wrote it,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,South Asian,25 - 34 years old,No,8.529911963824013
63919,90774,Yes,Yes,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,3-5 years,0-2 years,Extremely satisfied,Extremely satisfied,Working as a product manager or project manager,1.0,8.0,5.0,11.0,9.0,7.0,4.0,2.0,6.0,3.0,10.0,325000,5088.0,INR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,"To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;Because I find it enjoyable",5,1,5,Assembly;C;C++;C#;Java;JavaScript;PHP;Python;SQL;TypeScript;VB.NET;HTML;CSS,C++;C#;F#;JavaScript;PHP;Python;R;Scala;SQL;TypeScript;Kotlin;HTML;CSS,"SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)","MongoDB;SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Azure;Raspberry Pi;Windows Desktop or Server;Firebase,Azure;IBM Cloud or Watson;Raspberry Pi;Windows Desktop or Server;Firebase,Angular;.NET Core,Angular;.NET Core;Hadoop;Node.js;React;TensorFlow,Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Depends on what it is,"Yes, but only within the company",The developer who wrote it,Yes,Between 6:01 - 7:00 AM,5 - 8 hours,3 - 4 hours,1 - 2 times per week,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,18 - 24 years old,No,8.534640105019959
64215,91172,Yes,Yes,Spain,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,18-20 years,12-14 years,Moderately satisfied,Moderately satisfied,Doing the same work,1.0,10.0,4.0,3.0,11.0,5.0,6.0,7.0,2.0,9.0,8.0,40000,48955.0,EUR,"Google Hangouts/Chat;Slack;Other chat system (IRC, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;Because I find it enjoyable,5,2,5,JavaScript;TypeScript,C;Java;JavaScript;Python;TypeScript,"Memcached;Microsoft Azure (Tables, CosmosDB, SQL, etc)",MongoDB,Azure;Linux,AWS;Linux,Node.js,Node.js,Vim;Visual Studio Code,Linux-based,2,No,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,35 - 44 years old,Yes,10.798656787788172
64247,91221,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",Back-end developer;Designer;Front-end developer;Full-stack developer,6-8 years,0-2 years,Moderately dissatisfied,Slightly dissatisfied,Working as a product manager or project manager,1.0,6.0,5.0,11.0,4.0,2.0,7.0,8.0,9.0,3.0,10.0,72500,72500.0,USD,Google Hangouts/Chat;Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Six months to a year,To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;Because I find it enjoyable,4,4,1,JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;SQLite,MySQL;Elasticsearch,Heroku,Android;AWS;iOS;Salesforce;Serverless,Angular;Node.js;React,Angular;Django;Hadoop;Node.js;React;Spark,Atom;Notepad++;Vim,MacOS,2,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,Between 8:01 - 9:00 AM,9 - 12 hours,Less than 30 minutes,3 - 4 times per week,I don't typically exercise,Male,Bisexual or Queer,"Professional degree (JD, MD, etc.)",White or of European descent,25 - 34 years old,No,11.191341840842766
64252,91226,No,No,Netherlands,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Data or business analyst;Database administrator;DevOps specialist,9-11 years,6-8 years,Moderately dissatisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,1.0,8.0,10.0,2.0,11.0,5.0,7.0,3.0,9.0,6.0,4.0,60000,881196.0,EUR,Confluence;HipChat;Jira;Trello,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,I already had a full-time job as a developer when I began the program,Because I find it enjoyable,3,4,2,Java;JavaScript;Perl;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Go;SQL,Apache Hive,Apache HBase;Neo4j,AWS;Linux;Mac OS,Linux,Hadoop;Spark,Spark,Sublime Text,Linux-based,2,Depends on what it is,Depends on what it is,The developer who wrote it,No,Between 5:00 - 6:00 AM,9 - 12 hours,Less than 30 minutes,Never,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,35 - 44 years old,Yes,13.689035354635383
64474,91534,Yes,Yes,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,7.0,2.0,6.0,9.0,4.0,11.0,5.0,10.0,8.0,3.0,210000,32725.0,CNY,"Confluence;Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",4,5,5,C#;Groovy;Java;JavaScript;SQL;HTML;CSS,Go;Python;TypeScript;Kotlin,Redis;MySQL,MongoDB,Android;iOS;Mac OS,Serverless;Firebase,Angular;React;Spring,Django;Node.js,Android Studio;Atom;IntelliJ;IPython / Jupyter;Sublime Text;Vim;Visual Studio Code;Xcode,MacOS,1,No,"Yes, but only within the company",The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,1 - 2 times per week,Male,Straight or heterosexual,Primary/elementary school,East Asian,25 - 34 years old,No,10.3958945907781
64491,91557,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Back-end developer;Database administrator;DevOps specialist;Full-stack developer,15-17 years,12-14 years,Slightly dissatisfied,Moderately satisfied,Doing the same work,1.0,2.0,7.0,3.0,9.0,8.0,11.0,10.0,4.0,6.0,5.0,120000,120000.0,USD,"Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,4,2,3,C#;Python;SQL;TypeScript;Bash/Shell,C#;Python;SQL;TypeScript,SQL Server;MySQL,MongoDB;PostgreSQL,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,.NET Core,Angular;.NET Core,Notepad++;Visual Studio,Windows,2,No,Depends on what it is,The developer who wrote it,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,Yes,11.695247021764184
64508,91586,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;System administrator,12-14 years,6-8 years,Moderately satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,2.0,7.0,9.0,8.0,4.0,11.0,3.0,10.0,6.0,5.0,100000,100000.0,USD,"Confluence;Jira;Slack;Other chat system (IRC, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities,5,3,4,C;C++;Python;SQL;HTML;CSS;Bash/Shell,Assembly;C;C++;Python;SQL,MongoDB;SQL Server;MySQL;Memcached,PostgreSQL;Elasticsearch,Google Cloud Platform/App Engine;Linux;Windows Desktop or Server,Linux;Raspberry Pi,TensorFlow,Django;TensorFlow;Torch/PyTorch,Eclipse;Notepad++;PyCharm;Vim,Linux-based,2,No,Depends on what it is,Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,3 - 4 times per week,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,11.512925464970229
64555,91656,Yes,Yes,Netherlands,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Full-stack developer;System administrator,30 or more years,27-29 years,Moderately satisfied,Extremely satisfied,Doing the same work,3.0,6.0,1.0,9.0,10.0,5.0,4.0,8.0,11.0,2.0,7.0,67000,82000.0,EUR,"Confluence;Facebook;Google Hangouts/Chat;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",4,3,4,C;C++;Go;JavaScript;Lua;Perl;Ruby;SQL;HTML;CSS;Bash/Shell,C;C++;Erlang;Java;JavaScript;Julia;Perl;Ruby;Scala;SQL;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;SQLite;MariaDB,Cassandra;MySQL;PostgreSQL;SQLite;MariaDB;Elasticsearch,Linux;Mac OS;Raspberry Pi,Linux;Mac OS;Raspberry Pi,Node.js;React,Node.js,Sublime Text;Vim;Xcode,Linux-based,3,No,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,55 - 64 years old,No,11.314474526246391
64556,91657,Yes,Yes,Germany,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,12-14 years,9-11 years,Extremely satisfied,Extremely satisfied,Working as an engineering manager or other functional manager,4.0,11.0,2.0,3.0,10.0,5.0,9.0,1.0,8.0,7.0,6.0,6000,88116.0,EUR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)","Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network",4,2,2,C#;JavaScript;TypeScript,C#;F#,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,Azure;Windows Desktop or Server,.NET Core;Xamarin,.NET Core;Xamarin,Visual Studio;Visual Studio Code,Windows,1,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,1 - 2 times per week,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,35 - 44 years old,No,11.386409407239611
64572,91678,Yes,No,Czech Republic,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,9-11 years,0-2 years,Moderately satisfied,Slightly satisfied,Doing the same work,1.0,6.0,10.0,9.0,8.0,4.0,5.0,2.0,11.0,7.0,3.0,45000,26064.0,CZK,"Trello;Other chat system (IRC, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;Because I find it enjoyable,4,1,5,Java;PHP;SQL;HTML;CSS,Java;TypeScript,MySQL;Oracle,Oracle;Apache Hive;Google BigQuery,Arduino;ESP8266;Raspberry Pi;WordPress,Arduino;ESP8266;Raspberry Pi,Spring,Angular;Hadoop;Spring,NetBeans,Linux-based,2,No,"Yes, but only within the company",The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,10.168310330841827
64624,91758,Yes,Yes,United Kingdom,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;DevOps specialist;System administrator,9-11 years,6-8 years,Extremely satisfied,Extremely satisfied,Doing the same work,1.0,4.0,11.0,3.0,8.0,2.0,9.0,5.0,6.0,7.0,10.0,115000,159740.0,GBP,"Confluence;HipChat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",4,4,3,Assembly;C;C++;C#;Clojure;Erlang;Go;Java;Julia;Matlab;Python;R;Scala;SQL;HTML;CSS;Bash/Shell,Java;Julia;Python;Scala;SQL,Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB;IBM Db2;Amazon DynamoDB;Apache HBase;Apache Hive;Memcached;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Neo4j;Elasticsearch,MariaDB;Apache HBase;Apache Hive;Neo4j,AWS;Azure;Google Cloud Platform/App Engine;Linux;Mainframe,AWS;Azure;Linux,Hadoop;Spark;Spring;TensorFlow,Hadoop;Spark;Spring;TensorFlow,IntelliJ;PyCharm,MacOS,3,No,"Yes, but only within the company",The person who came up with the idea,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,11.98130277247138
65013,92297,Yes,No,Ireland,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",Educator or academic researcher;Front-end developer;Full-stack developer;Mobile developer;Student,9-11 years,6-8 years,Neither satisfied nor dissatisfied,Slightly satisfied,Working as an engineering manager or other functional manager,1.0,10.0,2.0,3.0,6.0,5.0,4.0,11.0,7.0,9.0,8.0,65000,79552.0,EUR,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Four to six months,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;Because I find it enjoyable",4,4,3,CoffeeScript;Groovy;Java;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript;Kotlin;HTML;CSS,Java;PHP;Python;Ruby;Kotlin;HTML;CSS,MongoDB;MySQL;PostgreSQL;SQLite;Elasticsearch,MongoDB;Redis;PostgreSQL;SQLite,Android;Arduino;AWS;Heroku;Mac OS;Raspberry Pi;WordPress;Firebase,Android;Google Home;Mac OS;Raspberry Pi;Salesforce;Firebase,Angular;Hadoop;Node.js;React;Cordova,Angular;Node.js;Spark;TensorFlow,Android Studio;Atom;IntelliJ;Sublime Text,MacOS,1,No,"Yes, but only within the company",The developer who wrote it,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,Less than 30 minutes,Never,1 - 2 times per week,Male,Straight or heterosexual,They never completed any formal education,White or of European descent,25 - 34 years old,No,11.284166174870382
65118,92437,Yes,Yes,Uganda,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Front-end developer;Full-stack developer;Mobile developer,6-8 years,6-8 years,Moderately dissatisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,2.0,10.0,5.0,7.0,11.0,4.0,3.0,8.0,6.0,9.0,2000,24000.0,USD,"Facebook;Google Hangouts/Chat;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;Because I find it enjoyable",5,2,4,Java;JavaScript;Kotlin;HTML;CSS,JavaScript;TypeScript;Kotlin;HTML,MongoDB;MySQL;SQLite,MongoDB;SQLite,Android;AWS;Firebase,Android;AWS;Google Cloud Platform/App Engine;Firebase,Angular;Node.js;React;Cordova,Angular;Node.js;React,Android Studio;Atom;IntelliJ;Sublime Text;Visual Studio Code,Windows,2,No,Depends on what it is,Upper management at the company/organization,Yes,Before 5:00 AM,9 - 12 hours,30 - 59 minutes,Never,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Black or of African descent,25 - 34 years old,Yes,10.085809109330082
65139,92463,No,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Fine arts or performing arts (ex. graphic design, music, studio art)",Designer;Educator or academic researcher;Front-end developer;Full-stack developer,3-5 years,0-2 years,Extremely dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,5.0,2.0,10.0,3.0,4.0,9.0,7.0,11.0,8.0,6.0,120000,120000.0,USD,Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",One to three months,"To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities",4,1,2,CoffeeScript;Go;Java;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,C#;Go;JavaScript;Objective-C;Ruby;Swift;TypeScript;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;Apache HBase;Elasticsearch,Elasticsearch,AWS;Azure;Heroku;Linux;Mac OS;Salesforce;WordPress;Firebase,iOS,Node.js;React;TensorFlow,Angular;Hadoop;Node.js;React,Atom;Emacs;IntelliJ;RubyMine;Sublime Text;TextMate;Vim;Xcode,MacOS,2,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,30 - 59 minutes,Never,3 - 4 times per week,Male,Bisexual or Queer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,11.695247021764184
